answer,question
68,"Bellemere owns a tangerine orchard with 50 trees. Each tree produces 80 tangerines. She wants to sell 600 tangerines at her local farmer's market. If she picks the same amount of tangerines from every tree, how many tangerines will be left on each tree?"
1155,"A charity puts out a telethon for a cause. Within 15 minutes, seventy-seven people donated $3 each, and 231 people donated four dollars each. How much does the charity receive within this time?"
2,"A school is selling baskets for a fundraiser. There are three baskets containing the following items: * Blue basket: a ball, cup, and notebook. * Red basket: a cup, bell, and hat. * Green basket: a hat, pen, and notebook. The costs of the items in the baskets are as follows: * $1: ball, notebook, and pen * $2: cup, bell, and hat Jane buys 6 red baskets and 5 blue baskets. Jim buys 3 red baskets and 2 green baskets. Since they purchase so many, they receive a discount. Jane gets an $8 discount and Jim also gets a $2 discount. How many times more does Jane spend than Jim?"
5,Mr. Gordon has 14 boys in his first period class which is twice the number of girls in class. Two of the girls in class have blonde hair and the rest have brown hair. How many girls with brown hair are in his class?
360,"Albert gets paid $15 an hour. He gets time and a half if he works over forty hours a week. Last week, he worked 48 hours. He plans to do this two weeks in a row. How much money will he be paid in overtime for those two weeks?"
36,"Beth, Anna, and Kim went to a book fair. Beth had two books less than Anna while Kim had four more books than Anna. Beth had $20 with her and was now left with $8. If all books are priced at $4, how much, in dollars, did Kim spend on her books?"
114,"4 friends are going on a road trip. Their names are Alex, Bethany, Carlos, and Drew. They drive at a rate of 65, 75, 60, and 50 mph, respectively. Alex drives for 2 hours, Bethany for 4, and Carlos and Drew each drive for 3 hours. They are using a car with a fuel efficiency of 20 miles per gallon of gas. If, along their route, gas costs $3 per gallon, how much money (in dollars) will they need to spend on gas? Assume they begin their journey at a gas station with an empty tank of gas."
6534,"The Genco Olive Oil Company has received ninety-nine orders for ninety-nine barrels of olive oil each. Out of those shipped, 33 orders were sent back due to clerical or product errors. How many total barrels of olive oil were not returned?"
26,"There is a very large room that has 4 tables, 1 sofa and 2 chairs that have 4 legs each. There are also 3 tables with 3 legs each, 1 table with 1 leg, and 1 rocking chair with 2 legs. How many legs of tables are there in the room?"
240,"A classroom has 24 students, and the teacher has arranged a field trip. If the cost per student for the trip is $15 and the teacher already has $120 from a class fund, how many more dollars does the teacher need to cover the total cost of the trip for all students?"
46," Rachel and Shauna go out to dinner. Dinner costs $68.25 in total (without taxes). Rachel's meal costs 1/3 of the total price, while Shauna's meal costs 2/3 of the total price. How much did Shauna's meal cost (round to the nearest dollar)?"
5,"Olivia owns a local hotel and needs to drive up business. She is planning to give a special deal to anyone who signs up for a membership card. Her idea is to give them 20% off their first night and 10% off on every night they stay after that. If her first new customer pays $616 for their stay, and each night costs $140 before discounts, how many nights did they stay at the hotel?"
19,"Johnny has 8 green balls. He has five fewer than twice that in red balls. How many total balls does Johnny have?"
11,"30 students are in a class. 1/5 of them are 12 years old, 1/3 are 13 years old. 1/10 of them are 11 years old. How many of them are not 11, 12, or 13 years old?"
4,"Francis loves sandwiches. He gets his usual from his favorite deli: two “Big Boy” sandwiches, and a glass-bottled soda. A “Big Boy” costs $15.25 and the soda costs $3.75. His friend Lars calls him and asks for a double-sweet soda that’s $4.75. If Francis pays all of this with $40 and asks for his change back in only quarters, how many quarters will he get?"
40,"A factory needs to produce 960 pieces of toy boats. They are only able to produce 1/6th of their goal a day. 5 toy boats make up a case and 4 cases make up a box. If a toy shop comes to pick up what is available on the fourth day and finds an extra 8 boxes left for them that were forgotten from a previous pickup, how many boxes of toy boats will they be able to take?"
54,"The highest temperature ever recorded on Earth was 136 degrees Fahrenheit and the coldest temperature ever measured was -126 degrees Fahrenheit. If the average temperature of Earth is 59, what would be the difference between the average temperature on Earth and the average given the two extremes?"
90,"Maria was shopping for the perfect prom dress. She found a red one that cost $250 but was on sale for 20% off. Sales tax is 5%. Her grandmother gave her $300 to pay for her dress and dinner. After Maria purchased the red dress, how much did she have left, in dollars, to pay for dinner?"
350," Mrs. Watson, a high school Spanish teacher, is required to input 2 grades a week per student per her school's grading policy. Mrs. Watson has 6 classes in total. Her 1st-period class has 32 students, 2nd-period has 28 students, 3rd-period has 41 students, 4th-period has 23 students, 5th-period has 18 students, and her 6th-period class has 33 students. How many grades does Mrs. Watson need to input each week to remain compliant with the school's grading policy?"
172,"Mary sells 4 bags of pears where each bag contains 3 giant pears and 4 small pears. Each giant pear is sold at $5 and each small pear is sold at $2. Mary also sells 2 bags of cherries where each bag contains 5 pounds of cherries. The cherries are sold at $8 per pound. How much in total does Mary earn from selling all these fruits?"
